1.0,14.8,11792.0,0.0,0.0,0.0
1.69,25.07,11758.7,0.0,0.0,0.0
2.39,35.34,11725.4,0.46,5.68,16.1
3.08,45.61,11692.1,1.29,15.81,34.7
3.78,55.88,11658.8,2.12,25.88,46.3
4.47,66.15,11625.5,2.95,35.88,54.3
5.16,76.42,11592.2,3.78,45.84,60.0
5.86,86.69,11558.9,4.6,55.73,64.3
6.55,96.96,11525.6,5.43,65.57,67.6
7.24,107.22,11492.2,6.26,75.34,70.3
7.94,117.49,11458.9,7.09,85.07,72.4
8.63,127.76,11425.6,7.92,94.73,74.1
9.33,138.03,11392.3,8.75,104.33,75.6
10.02,148.3,11359.0,9.57,113.88,76.8
10.71,158.57,11325.7,10.4,123.37,77.8
11.41,168.84,11292.4,11.23,132.8,78.7
12.1,179.11,11259.1,12.06,142.17,79.4
12.8,189.38,11225.8,12.89,151.49,80.0
13.49,199.65,11192.5,13.71,160.75,80.5
14.18,209.92,11159.2,14.54,169.95,81.0
14.88,220.19,11125.9,15.37,179.09,81.3
15.57,230.46,11092.6,16.2,188.18,81.7
16.27,240.73,11059.3,17.03,197.2,81.9
16.96,251.0,11026.0,17.86,206.17,82.1
17.65,261.27,10992.7,18.68,215.09,82.3
18.35,271.53,10959.3,19.51,223.94,82.5
19.04,281.8,10926.0,20.34,232.74,82.6
19.73,292.07,10892.7,21.17,241.47,82.7
20.43,302.34,10859.4,22.0,250.15,82.7
21.12,312.61,10826.1,22.83,258.78,82.8
21.82,322.88,10792.8,23.65,267.34,82.8
22.51,333.15,10759.5,24.48,275.85,82.8
23.2,343.42,10726.2,25.31,284.3,82.8
23.9,353.69,10692.9,26.14,292.69,82.8
24.59,363.96,10659.6,26.97,301.02,82.7
25.29,374.23,10626.3,27.8,309.3,82.7
25.98,384.5,10593.0,28.62,317.52,82.6
26.67,394.77,10559.7,29.45,325.68,82.5
27.37,405.04,10526.4,30.28,333.78,82.4
28.06,415.31,10493.1,31.11,341.83,82.3
28.76,425.58,10459.8,31.94,349.81,82.2
29.45,435.84,10426.4,32.76,357.74,82.1
30.14,446.11,10393.1,33.59,365.62,82.0
30.84,456.38,10359.8,34.42,373.43,81.8
31.53,466.65,10326.5,35.25,381.19,81.7
32.22,476.92,10293.2,36.08,388.88,81.5
32.92,487.19,10259.9,36.91,396.52,81.4
33.61,497.46,10226.6,37.73,404.11,81.2
34.31,507.73,10193.3,38.56,411.63,81.1
35.0,518.0,10160.0,39.39,419.1,80.9
